developer,location,type,latitude,longitude,matched_address
Information Technology Park Limited,"Sadaramangala and Pattandur Agrahara Village, Whitefield Road, District Bangalore, Karnataka",IT/ITES,13.0005404,77.6802076,"Whitefield Road, B. Narayanapura, A Narayanapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560036, India"
Pritech Park (formerly Primal Projects Private Limited),"Bellandur Village, Varthur Hobli, Bangalore East Taluk, Bangalore Urban District, Karnataka",IT/ITES,12.9098272,77.6878438,"HP Petrol Pump, 12, Doddakannelli Varthur Hobli, 83, Off Sarjapur Road, Kaikondrahalli, Sarjapura Road, Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India"
Bagmane Developers Pvt. Ltd. (Formerly Bagmane Construction Pvt. Ltd.),"Mahadevapura, K R Puram, Bangalore North, Karnataka",IT/ITES,12.9809663,77.6962332,"Bagmane Developers Private Limited, Goshala Road, Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
Karle Infra Pvt. Ltd.,"Nagavara Village, North Bangalore Taluka, Karnataka",IT/ITES,,,Not Found
Gopalan Enterprises (India) Private Limited.,"Hoodi Village, K.R. Puram, Whitefield, Banglore, Karnataka.",IT/IT enabled services,13.0005461,77.6754561,"Krishnarajapuram, Platform Road, Darga Mohalla, K.S. Nissar Ahmed Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560016, India"
Milestone Buildcon Private Limited,"Village Chokkanahalli, Taluka Yelahanka Hobli Bangalore North, Karnataka",IT/ITES,13.1132252,77.6873408,"Chokkanahalli, Yelahanka taluku, Bengaluru Urban, Karnataka, 562149, India"
Karnataka Industrial Areas Development Board (KIADB),"Village Bhatramaranahalli. Kavadadasanahalli, Dummanahalli, Talukas Bangalore North and Devanahali, Distt. Bangalore, Karnataka",Aerospace and Industry,,,Not Found
Wipro Limited.,"Village Kodathi, Varthur Hobli, Sarjapur Road, District Bangalore, Karnataka",IT/ITES,12.9098272,77.6878438,"HP Petrol Pump, 12, Doddakannelli Varthur Hobli, 83, Off Sarjapur Road, Kaikondrahalli, Sarjapura Road, Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India"
Amin Properties LLP,"Pujanahalli Village, Devanahalli Taluk, Bangalore, Karnataka",IT/ITES,13.216271,77.6572142,"Poojenahalli, Devanahalli taluku, Bengaluru North, Karnataka, 562110, India"
Bagmane Developers Pvt. Ltd.,"Outer Ring Road, Doddanekundi Circle, Marathalli Post, Bengaluru, Karnataka",IT/ITES,12.9073569,77.6005607,"Outer Ring Road, Bilekahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
RGA Infrastructure,"Sy. No. 31/1, Chikkankannelli Village, Varthur Hobli, Bangalore East Taluk, Bangalore, Karnataka",IT/ITES,,,Not Found
Modern Asset,"Survey No. 2/1 & 2/2, Venkatala Village, Yelahanka Hobli, Bangalore, Karnataka",IT/ITES,,,Not Found
"Brigade Properties Pvt. Ltd. (Formerly Brookefields Real Estates and Projects Pvt. Ltd., Brooke Bond Real Estates Private Limited)","Bangalore, Karnataka",IT/ITES/BPO/EH,12.9767936,77.590082,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Infosys Limited,"Electronic City, Doddathogur Village, Begur Hobli, Bangalore, Karnataka",IT/ITES,12.8502503,77.6663783,"infosys - fountain park, Electronics City Phase 1, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560100, India"
Bagmane Developers Pvt. Ltd.,"Survery No. 97(Part), Doddanakundi Village, Doddanakundi Industrial Area, Bangalore, Karnataka",IT/ITES,,,Not Found
L & T Realty Developers Ltd.,"L&T Campus, Bellary Road, Village Byatarayanapura, Next to GKVK, District Bangalore, Karnataka",IT/ITES,12.8504747,77.593379,"National Public School - T. John Campus, NICE Road, Doddakammanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560083, India"
Embassy Property Developments Private Limited,"Outer Ring Road, Rachenahalli Village, Bangalore, Karnataka",IT/ITES,12.9073569,77.6005607,"Outer Ring Road, Bilekahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
